X,Y,OBJECTID,AREA,PERIMETER,PHTW911_,PHTW911_ID,XLO,YLO,SNO,YEAR,LNO,FE,MN,CU,ZN,CD,CR,NI,PB,CUAR,CUAR_OVER,ZNAR,ZNAR_OVER,CDAR,CDAR_OVER,CRAR,CRAR_OVER,NIAR,NIAR_OVER,PBAR,PBAR_OVER,OVER,RESTRICTED
121.2696597488,25.059753841,9240,62500,1000,396,28299,276375,2772625,GR83JO71551,1994,JO7155,925.18,38.72,28.93,464.26,0.67,2.02,9.97,21.05,69.7043,0,1243.7965,1,1.009,0,66.966,0,65.7061,0,65.417,0,1,1
121.2820502295,25.0597307806,9243,62500,1000,399,68834,277625,2772625,GR85JO72051,1996,JO7205,525.19,16.55,357.46,29.36,0.4,0.42,4.27,9.78,741.0883,1,162.7221,0,0.6154,0,39.2028,0,36.4668,0,33.6277,0,1,1
121.2919624901,25.0597116716,9246,62500,1000,403,68892,278625,2772625,GR85JO72451,1996,JO7245,692.1,9.99,131.52,168.48,0.47,1.69,9.88,13.02,279.3573,1,508.5466,0,0.7175,0,61.2399,0,65.2444,0,42.7668,0,1,1
121.269654871,25.0574967417,9259,62500,1000,416,28296,276375,2772375,GR83JO71541,1994,JO7154,616.07,41.32,44.96,1368.58,1.01,4.32,10.26,22.3,102.4633,0,3491.7552,1,1.5047,0,106.8756,0,67.1937,0,68.9429,0,1,1
121.274610972,25.0574876217,9260,62500,1000,418,68791,276875,2772375,GR85JO71741,1996,JO7174,765.51,18.59,95.67,105.35,0.41,1.25,6.92,26.19,206.0942,1,351.618,0,0.63,0,53.605,0,50.0605,0,79.9154,0,1,1
121.2944351181,25.0574497096,9265,62500,1000,425,68909,278875,2772375,GR85JO72541,1996,JO7254,614.07,13.24,126.06,262,0.67,1.16,14.95,13.58,268.1992,1,741.0186,1,1.009,0,52.0433,0,91.252,0,44.3464,0,1,1
121.2845179097,25.0552118854,9277,62500,1000,437,68841,277875,2772125,GR85JO72131,1996,JO7213,1515.79,16.08,198.47,38.04,0.68,0.91,7.49,11.62,416.1763,1,184.2988,0,1.0236,0,47.7053,0,52.9845,0,38.8178,0,1,1
121.2845126991,25.0529547917,9299,62500,1000,461,68839,277875,2771875,GR83JO72121,1994,JO7212,1901.73,34.18,745.06,455.58,1.03,14.93,9.3,471.63,1533.1876,1,1222.2198,1,1.5338,0,290.9804,1,62.2692,0,1336.368,1,1,1
121.2869906044,25.0529500359,9300,62500,1000,462,68859,278125,2771875,GR83JO72221,1994,JO7222,805.86,6.45,93.7,20.51,0.56,0.65,3.58,12.09,202.0683,1,140.7228,0,0.8487,0,43.1938,0,32.9273,0,40.1436,0,1,1
121.2944242662,25.0529355296,9302,62500,1000,465,68903,278875,2771875,GR85JO72521,1996,JO7252,1310.33,22.23,194.88,343.68,0.73,2.86,15.47,24.56,408.8398,1,944.0587,1,1.0965,0,81.5417,0,93.9195,0,75.3177,0,1,1
